연번,상가유형,호선,역명,상가번호,면적,계약시작일자,계약종료일자,월임대료,사업진행단계
731,복합,5,오목교역,521-202,49,2018-10-19,2024-04-16,,
732,복합,5,오목교역,521-203,27.47,2018-10-19,2024-04-16,,
733,복합,5,오목교역,521-204,21.7,2018-10-19,2024-04-16,,
734,복합,5,오목교역,521-205,9.7,2018-10-19,2024-04-16,,
735,네트워크,5,오목교역,521-206,43.51,2018-04-18,2023-06-16,12003739,
736,복합,5,오목교역,521-207,15.16,2018-10-19,2024-04-16,,
737,복합,5,오목교역,521-208,22.25,2018-10-19,2024-04-16,,
738,복합,5,오목교역,521-209,62.37,2018-10-19,2024-04-16,,
739,복합,5,오목교역,521-210,57.1,2018-10-19,2024-04-16,,
740,복합,5,오목교역,521-211,35.8,2018-10-19,2024-04-16,,
741,복합,5,오목교역,521-212,36.19,2018-10-19,2024-04-16,,
742,복합,5,오목교역,521-213,31.1,2018-10-19,2024-04-16,,
743,복합,5,오목교역,521-214,37.9,2018-10-19,2024-04-16,,
744,네트워크,5,영등포구청(5)역,523-401,34.33,2018-04-18,2023-06-16,6300716,
745,네트워크,5,영등포구청(5)역,523-402,313.4,2021-05-07,2026-11-03,5779441,
746,네트워크,5,영등포구청(5)역,523-404,24.8,2021-09-06,2026-11-05,5518570,
747,네트워크,5,영등포시장역,524-202,37.3,2018-04-18,2023-06-16,6361705,
748,공실,5,신길역,525-101,20,,,,1단계. 사업계획 수립중
749,네트워크,5,신길역,525-102,40,2018-11-27,2024-01-25,3163803,
750,개별(일반),5,신길역,525-106,10,2018-04-10,2023-05-09,7800000,
751,공실,5,여의도역,526-100,47,,,,1단계. 사업계획 수립중
752,네트워크,5,여의도역,526-101,35.24,2018-04-18,2023-06-16,9929005,
753,개별(일반),5,여의도역,526-102,22.04,2019-09-20,2024-10-19,2300000,
754,네트워크,5,여의도역,526-201,23.65,2018-11-27,2024-01-25,2792455,
755,공실(임대진행),5,여의도역,526-202,23.65,,,,4단계. 방침수립
756,공실(임대진행),5,여의도역,526-203,19.93,,,,4단계. 방침수립
757,네트워크,5,여의나루역,527-101,33.39,2018-04-18,2023-06-16,6716550,
758,개별(일반),5,여의나루역,527-102,34.86,2022-05-12,2027-06-11,2021800,
759,네트워크,5,마포역,528-101,29,2018-04-18,2023-06-16,5945871,
760,개별(일반),5,마포역,528-102,17.43,2021-07-12,2026-08-11,2350000,
761,개별(일반),5,마포역,528-103,41.13,2021-02-08,2026-02-07,2960000,
762,네트워크,5,마포역,528-104,46.6,2021-09-06,2026-11-05,3861593,
763,네트워크,5,마포역,528-401,32.9,2018-05-09,2023-07-07,2552265,
764,공실,5,공덕(5)역,529-101,70.3,,,,1단계. 사업계획 수립중
765,개별(대형),5,공덕(5)역,529-102,295,2019-01-10,2024-03-10,20000000,
766,개별(대형),5,공덕(5)역,529-103,,2019-01-10,2024-03-10,,
767,개별(대형),5,공덕(5)역,529-104,,2019-01-10,2024-03-10,,
768,개별(대형),5,공덕(5)역,529-105,,2019-01-10,2024-03-10,,
769,개별(대형),5,공덕(5)역,529-106,,2019-01-10,2024-03-10,,
770,개별(대형),5,공덕(5)역,529-107,,2019-01-10,2024-03-10,,
771,개별(대형),5,공덕(5)역,529-108,,2019-01-10,2024-03-10,,
772,개별(대형),5,공덕(5)역,529-109,22,2019-01-10,2024-03-10,,
773,개별(일반),5,공덕(5)역,529-110,34.5,2019-12-30,2024-12-29,1211600,
774,네트워크,5,공덕(5)역,529-111,34.9,2018-04-18,2023-06-16,7008188,
775,네트워크,5,공덕(5)역,529-113,30,2021-05-07,2026-11-03,1126258,
776,개별(일반),5,공덕(5)역,529-114,33.71,2022-02-04,2027-03-06,1440500,
777,공실(임대진행),5,공덕(5)역,529-115,37,,,,3단계. 감정평가
778,개별(일반),5,공덕(5)역,529-116,34,2018-12-28,2024-01-26,1280000,
779,개별(일반),5,공덕(5)역,529-117,33,2020-02-25,2025-03-26,1500000,
780,공실(임대진행),5,공덕(5)역,529-118,32,,,,4단계. 방침수립
781,개별(일반),5,공덕(5)역,529-119,32,2022-09-01,2027-10-01,1430000,
782,개별(일반),5,공덕(5)역,529-120,47.3,2021-07-05,2026-08-04,2517800,
783,개별(일반),5,공덕(5)역,529-121,52,2022-04-26,2027-05-26,2015000,
784,개별(일반),5,공덕(5)역,529-122,41.58,2020-11-13,2025-12-13,2815000,
785,개별(일반),5,공덕(5)역,529-123,28.5,2022-09-21,2027-10-21,968000,
786,네트워크,5,공덕(5)역,529-130,32.2,2021-05-07,2026-11-03,2801979,
787,네트워크,5,공덕(5)역,529-131,32,2021-05-07,2026-11-03,,
788,네트워크,5,공덕(5)역,529-132,32,2021-05-07,2026-11-03,,
789,네트워크,5,공덕(5)역,529-133,48.5,2021-05-07,2026-11-03,,
790,네트워크,5,공덕(5)역,529-134,28.2,2021-05-07,2026-11-03,,
791,개별(일반),5,공덕(5)역,529-202,28.6,2021-07-23,2026-08-22,1833300,
792,개별(일반),5,공덕(5)역,529-203,28.7,2021-07-23,2026-08-22,,
793,네트워크,5,애오개역,530-101,32.2,2018-04-18,2023-06-16,4577500,
794,개별(일반),5,충정로(5)역,531-101,42,2020-04-16,2025-05-16,550000,
795,개별(일반),5,충정로(5)역,531-201,20,2021-07-19,2026-08-18,447500,
796,네트워크,5,충정로(5)역,531-202,45,2018-04-18,2023-06-16,5773993,
797,개별(일반),5,충정로(5)역,531-203,36.85,2020-12-31,2026-01-30,552900,
798,공실,5,충정로(5)역,531-204,29.01,,,,1단계. 사업계획 수립중
799,개별(일반),5,충정로(5)역,531-205,29.01,2022-06-21,2027-07-21,407000,
800,개별(일반),5,서대문역,532-101,14.74,2019-04-30,2024-05-29,833000,
801,개별(일반),5,서대문역,532-102,8.25,2022-07-08,2027-08-07,375000,
802,공실(임대진행),5,서대문역,532-103,10.5,,,,4단계. 방침수립
803,네트워크,5,서대문역,532-104,30.32,2018-04-18,2023-06-16,5124183,
804,공실(임대진행),5,서대문역,532-105,10.5,,,,4단계. 방침수립
805,개별(일반),5,서대문역,532-106,42.95,2018-10-12,2023-11-10,5021000,
806,개별(일반),5,서대문역,532-107,11.88,2021-03-15,2026-04-14,3011000,
807,공실,5,서대문역,532-108,9.05,,,,2단계. 시설물 점검
808,공실(임대진행),5,서대문역,532-109,9.06,,,,4단계. 방침수립
809,공실,5,서대문역,532-301,25.79,,,,2단계. 시설물 점검
810,개별(대형),5,광화문역,533-101,849,2020-10-29,2026-02-26,8525000,
811,네트워크,5,광화문역,533-103,56,2018-04-18,2023-06-16,25342583,
812,네트워크,5,광화문역,533-104,10,2018-11-16,2024-01-14,,
813,공실(임대진행),5,종로3가(5)역,534-101,67.28,,,,4단계. 방침수립
814,네트워크,5,종로3가(5)역,534-202,29.48,2018-04-18,2023-06-16,8575050,
815,공실,5,종로3가(5)역,534-301,21.4,,,,2단계. 시설물 점검
816,개별(일반),5,을지로4가(5)역,535-101,29.82,2019-05-08,2024-06-06,302500,
817,개별(일반),5,을지로4가(5)역,535-102,16.8,2017-09-16,2022-10-15,1500000,
818,개별(일반),5,을지로4가(5)역,535-103,19.6,2018-04-10,2023-05-09,799000,
819,네트워크,5,을지로4가(5)역,535-104,34.98,2018-04-18,2023-06-16,5063194,
820,개별(일반),5,을지로4가(5)역,535-105,41.45,2019-10-29,2024-11-27,633300,
821,개별(일반),5,을지로4가(5)역,535-106,41.45,2019-05-08,2024-06-06,512300,
822,네트워크,5,청구(5)역,537-301,47.89,2021-11-22,2027-01-21,2357147,
823,네트워크,5,청구(5)역,537-302,30,2021-09-06,2026-11-05,3832696,
824,네트워크,5,청구(5)역,537-304,46.33,2018-04-18,2023-06-16,5754033,
825,개별(일반),5,청구(5)역,537-305,18,2019-12-19,2025-01-17,3360000,
826,네트워크,5,신금호역,538-101,39.14,2018-04-18,2023-06-16,5585481,
827,개별(일반),5,신금호역,538-102,23.5,2020-12-03,2026-01-02,1239900,
828,네트워크,5,행당역,539-101,41.46,2018-04-18,2023-06-16,6615640,
829,공실(임대진행),5,행당역,539-301,30.84,,,,3단계. 감정평가
830,네트워크,5,행당역,539-302,39,2022-05-02,2027-07-31,780500,
831,개별(일반),5,행당역,539-303,46.78,2021-05-10,2026-06-09,2200000,
832,네트워크,5,왕십리(5)역,540-201,40,2018-04-18,2023-06-16,5167430,
833,공실(임대진행),5,왕십리(5)역,540-202,10.3,,,,5단계. 입찰공고
834,네트워크,5,왕십리(5)역,540-203,50.84,2020-12-23,2026-03-23,3968788,
835,네트워크,5,왕십리(5)역,540-401,204,2021-05-07,2026-11-03,2556015,
836,공실(임대진행),5,왕십리(5)역,540-402,53.75,,,,3단계. 감정평가
837,개별(일반),5,왕십리(5)역,540-403,53.7,2017-09-16,2022-10-15,2640000,
838,공실,5,왕십리(5)역,540-404,53.7,,,,2단계. 시설물 점검
839,개별(일반),5,왕십리(5)역,540-405,55.83,2019-12-18,2025-01-16,3640000,
840,개별(일반),5,왕십리(5)역,540-406,50,2018-04-21,2023-05-20,516600,
841,공실(임대진행),5,왕십리(5)역,540-407,84.48,,,,4단계. 방침수립
842,개별(일반),5,왕십리(5)역,540-408,37,2019-10-29,2024-11-27,4640000,
843,공실,5,왕십리(5)역,540-409,37,,,,1단계. 사업계획 수립중
844,개별(일반),5,왕십리(5)역,540-410,73.57,2021-05-10,2026-06-09,4030000,
845,네트워크,5,마장역,541-101,30,2018-04-18,2023-06-16,4361266,
846,개별(일반),5,답십리역,542-101,50,2020-06-15,2025-07-15,1250000,
847,개별(일반),5,답십리역,542-103,61.97,2019-11-12,2024-12-11,421600,
848,개별(일반),5,답십리역,542-104,57.89,2020-08-03,2025-09-02,4560000,
849,개별(일반),5,답십리역,542-202,25.5,2019-08-24,2024-09-22,1800000,
850,공실(임대진행),5,답십리역,542-203,35.8,,,,4단계. 방침수립
851,네트워크,5,답십리역,542-204,40,2018-04-18,2023-06-16,8179176,
852,개별(일반),5,답십리역,542-205,28.86,2022-01-17,2027-02-16,2200000,
853,공실,5,장한평역,543-101,24.5,,,,1단계. 사업계획 수립중
854,개별(일반),5,장한평역,543-102,31.9,2021-05-10,2026-06-09,2260000,
855,네트워크,5,장한평역,543-103,52.8,2018-04-18,2023-06-16,11054529,
856,네트워크,5,장한평역,543-201,29.8,2021-09-06,2026-11-05,4296737,
857,네트워크,5,장한평역,543-202,35.62,2022-05-02,2027-07-31,1832700,
858,네트워크,5,장한평역,543-203,31.98,2022-09-07,2028-02-04,2002157,
859,개별(대형),5,군자(5)역,544-103,90.6,2018-02-22,2023-04-02,7050000,
860,개별(대형),5,군자(5)역,544-104,48,2018-04-16,2023-04-02,,
861,개별(일반),5,군자(5)역,544-107,44.67,2020-02-20,2025-03-21,3600000,
862,네트워크,5,아차산역,545-101,19.6,2021-09-06,2026-11-05,3182079,
863,개별(일반),5,아차산역,545-102,19.6,2017-10-11,2022-11-09,2000000,
864,개별(일반),5,아차산역,545-103,31.21,2020-12-31,2026-01-30,2930000,
865,네트워크,5,아차산역,545-201,48.37,2018-05-09,2023-07-07,3556078,
866,네트워크,5,아차산역,545-202,28.72,2018-04-18,2023-06-16,5882664,
867,개별(일반),5,아차산역,545-203,44.22,2018-12-28,2024-01-26,2833300,
868,네트워크,5,광나루역,546-101,53.26,2018-05-09,2023-07-07,3726868,
869,개별(일반),5,광나루역,546-201,62.2,2020-09-18,2025-10-18,3063600,
870,네트워크,5,광나루역,546-202,45,2018-04-18,2023-06-16,8972033,
871,개별(일반),5,광나루역,546-203,17.86,2018-10-23,2023-11-21,2150000,
872,복합,5,천호(5)역,547-101,210,2017-07-07,2022-11-04,217793378,
873,복합,5,천호(5)역,547-102,214.67,2017-07-07,2022-11-04,,
874,복합,5,천호(5)역,547-103,142.68,2017-07-07,2022-11-04,,
875,복합,5,천호(5)역,547-104,142.68,2017-07-07,2022-11-04,,
876,복합,5,천호(5)역,547-105,120.19,2017-07-07,2022-11-04,,
877,복합,5,천호(5)역,547-106,43.9,2017-07-07,2022-11-04,,
878,복합,5,천호(5)역,547-107,54.27,2017-07-07,2022-11-04,,
879,복합,5,천호(5)역,547-108,25.63,2017-07-07,2022-11-04,,
880,복합,5,천호(5)역,547-109,12.37,2017-07-07,2022-11-04,,
881,복합,5,천호(5)역,547-110,38.58,2017-07-07,2022-11-04,,
882,복합,5,천호(5)역,547-111,30.65,2017-07-07,2022-11-04,,
883,복합,5,천호(5)역,547-112,30.65,2017-07-07,2022-11-04,,
884,복합,5,천호(5)역,547-113,47.07,2017-07-07,2022-11-04,,
885,복합,5,천호(5)역,547-114,47.47,2017-07-07,2022-11-04,,
886,복합,5,천호(5)역,547-115,47.55,2017-07-07,2022-11-04,,
887,복합,5,천호(5)역,547-116,47.32,2017-07-07,2022-11-04,,
888,복합,5,천호(5)역,547-117,34.15,2017-07-07,2022-11-04,,
889,복합,5,천호(5)역,547-119,34.17,2017-07-07,2022-11-04,,
890,복합,5,천호(5)역,547-121,66.6,2017-07-07,2022-11-04,,
891,복합,5,천호(5)역,547-122,72.11,2017-07-07,2022-11-04,,
892,복합,5,천호(5)역,547-123,22.41,2017-07-07,2022-11-04,,
893,복합,5,천호(5)역,547-124,23.42,2017-07-07,2022-11-04,,
894,복합,5,천호(5)역,547-125,19.59,2017-07-07,2022-11-04,,
895,복합,5,천호(5)역,547-126,53,2017-07-07,2022-11-04,,
896,복합,5,천호(5)역,547-201,22.38,2017-07-07,2022-11-04,,
897,복합,5,천호(5)역,547-202,56.22,2017-07-07,2022-11-04,,
898,복합,5,천호(5)역,547-203,238.24,2017-07-07,2022-11-04,,
899,개별(일반),5,강동역,548-101,15,2020-03-02,2025-04-01,2842500,
900,개별(일반),5,강동역,548-102,15,2019-12-20,2025-01-18,2638000,
901,네트워크,5,강동역,548-103,57.26,2018-04-18,2023-06-16,10222861,
902,개별(일반),5,강동역,548-104,24.44,2020-10-23,2025-11-22,1880000,
903,소송상가,5,강동역,548-301,29.58,2016-11-07,2022-02-05,14919520,
904,소송상가,5,강동역,548-302,31.58,2016-11-07,2022-02-05,,
905,소송상가,5,강동역,548-303,20.44,2016-11-07,2022-02-05,,
906,소송상가,5,강동역,548-304,96.47,2016-11-07,2022-02-05,,
907,소송상가,5,강동역,548-305,202.41,2016-11-07,2022-02-05,,
908,소송상가,5,강동역,548-306,16.4,2016-11-07,2022-02-05,,
909,네트워크,5,길동역,549-101,31.82,2018-04-18,2023-06-16,5116421,
910,네트워크,5,굽은다리역,550-101,30,2018-04-18,2023-06-16,5299387,
911,네트워크,5,굽은다리역,550-102,14.5,2022-09-07,2028-02-04,237024,
912,네트워크,5,굽은다리역,550-103,34.43,2022-05-02,2027-07-31,1521300,
913,개별(일반),5,굽은다리역,550-104,34.43,2020-09-18,2025-10-18,2516600,
914,개별(일반),5,굽은다리역,550-105,23,2018-09-28,2023-10-27,3130000,
915,네트워크,5,명일역,551-101,30,2018-04-18,2023-06-16,5086480,
916,개별(일반),5,명일역,551-102,44.27,2018-10-23,2023-11-21,2300000,
917,공실,5,명일역,551-103,25.05,,,,2단계. 시설물 점검
918,개별(일반),5,명일역,551-104,29.77,2020-12-02,2026-01-01,1481800,
919,네트워크,5,고덕역,552-101,28.62,2018-04-18,2023-06-16,5036580,
920,공실(임대진행),5,고덕역,552-102,42.94,,,,3단계. 감정평가
921,네트워크,5,고덕역,552-104,32.66,2022-05-02,2027-07-31,1840800,
922,네트워크,5,상일동역,553-101,31.46,2018-04-18,2023-06-16,5759577,
923,개별(일반),5,상일동역,553-102,17.85,2019-04-02,2024-05-01,1100000,
924,개별(일반),5,상일동역,553-103,17.92,2017-09-16,2022-10-15,1200000,
925,네트워크,5,둔촌동역,554-101,29,2018-04-18,2023-06-16,5386990,
926,개별(일반),5,둔촌동역,554-102,28.71,2020-12-24,2026-01-23,1750000,
927,개별(일반),5,둔촌동역,554-103,13.5,2019-12-21,2025-01-19,2065000,
928,개별(일반),5,둔촌동역,554-104,31.17,2021-04-07,2026-05-07,3752500,
929,개별(일반),5,둔촌동역,554-105,49.53,2021-10-14,2026-11-13,4310000,
930,네트워크,5,올림픽공원역,555-201,37.2,2018-04-18,2023-06-16,5832764,
931,개별(일반),5,방이역,556-101,19.3,2022-04-28,2027-05-28,1030000,
932,네트워크,5,방이역,556-102,36.48,2018-04-18,2023-06-16,5832764,
933,네트워크,5,오금(5)역,557-101,27.38,2018-04-18,2023-06-16,3373245,
934,네트워크,5,개롱역,558-101,40,2018-04-18,2023-06-16,6316240,
935,네트워크,5,거여역,559-101,28.98,2018-04-18,2023-06-16,4559758,
936,네트워크,5,마천역,560-201,30,2018-04-18,2023-06-16,4234853,
937,네트워크,6,응암역,610-101,34.64,2021-09-06,2026-11-05,7940972,
938,공실,6,응암역,610-102,30,,,,1단계. 사업계획 수립중
939,공실(임대진행),6,응암역,610-103,50,,,,4단계. 방침수립
940,네트워크,6,응암역,610-104,31,2022-08-01,2027-12-29,2214894,
941,공실(임대진행),6,응암역,610-105,15,,,,3단계. 감정평가
942,네트워크,6,응암역,610-201,38.8,2022-02-03,2027-05-04,12005352,
943,네트워크,6,역촌역,611-101,31.5,2022-02-03,2027-05-04,2585123,
944,공실(임대진행),6,역촌역,611-102,72,,,,4단계. 방침수립
945,공실(임대진행),6,역촌역,611-103,37,,,,4단계. 방침수립
946,공실(임대진행),6,역촌역,611-104,37,,,,4단계. 방침수립
947,개별(일반),6,불광(6)역,612-101,43,2020-02-24,2025-02-24,495000,
948,네트워크,6,불광(6)역,612-202,30,2022-02-03,2027-05-04,898305,
949,네트워크,6,독바위역,613-101,31.3,2022-02-03,2027-05-04,1839752,
950,공실,6,독바위역,613-102,85,,,,1단계. 사업계획 수립중
951,네트워크,6,연신내(6)역,614-101,44,2022-02-03,2027-05-04,8734634,
952,개별(일반),6,연신내(6)역,614-301,12,2020-02-24,2025-03-25,1386900,
953,네트워크,6,연신내(6)역,614-302,26.6,2018-05-12,2023-07-10,2500150,
954,공실,6,연신내(6)역,614-502,14.17,,,,1단계. 사업계획 수립중
955,네트워크,6,구산역,615-101,33.2,2022-02-03,2027-05-04,5228359,
956,공실(임대진행),6,구산역,615-103,30,,,,3단계. 감정평가
957,공실(임대진행),6,구산역,615-104,33,,,,3단계. 감정평가
958,개별(일반),6,새절역,616-101,43.6,2020-04-09,2025-05-09,4100000,
959,네트워크,6,새절역,616-102,25,2022-02-03,2027-05-04,6460036,
960,개별(일반),6,새절역,616-103,30.14,2021-03-18,2026-04-17,3780000,
961,개별(일반),6,새절역,616-104,26,2018-10-23,2023-11-21,3595400,
962,네트워크,6,증산역,617-101,28,2022-02-03,2027-05-04,5775771,
963,개별(일반),6,증산역,617-102,31,2020-07-13,2025-08-12,3154000,
964,네트워크,6,증산역,617-103,37,2022-09-07,2028-02-04,1720546,
965,네트워크,6,증산역,617-104,29,2022-08-01,2027-12-29,1414221,
966,공실(임대진행),6,증산역,617-105,48,,,,3단계. 감정평가
967,개별(일반),6,디지털미디어시티역,618-003,95.86,2016-10-20,2027-01-18,3882000,
968,개별(대형),6,디지털미디어시티역,618-004,212.39,2016-10-21,2027-01-19,4970000,
969,네트워크,6,디지털미디어시티역,618-101,31.64,2018-05-09,2023-07-07,2608636,
970,네트워크,6,디지털미디어시티역,618-102,33,2022-02-03,2027-05-04,4574703,
971,공실,6,디지털미디어시티역,618-103,30,,,,1단계. 사업계획 수립중
972,공실(임대진행),6,디지털미디어시티역,618-104,110,,,,3단계. 감정평가
973,공실,6,디지털미디어시티역,618-106,40,,,,1단계. 사업계획 수립중
974,공실,6,디지털미디어시티역,618-107,30,,,,1단계. 사업계획 수립중
975,공실,6,디지털미디어시티역,618-108,81,,,,1단계. 사업계획 수립중
976,네트워크,6,디지털미디어시티역,618-109,33,2022-08-01,2027-12-29,1684136,
977,네트워크,6,월드컵경기장역,619-201,43,2022-02-03,2027-05-04,2765893,
978,네트워크,6,마포구청역,620-101,39,2022-02-03,2027-05-04,6487761,
979,공실(임대진행),6,마포구청역,620-102,32.58,,,,3단계. 감정평가
980,개별(일반),6,마포구청역,620-104,73,2022-03-11,2027-04-10,508200,
981,네트워크,6,마포구청역,620-202,51,2022-08-01,2027-12-29,1793009,
982,공실,6,마포구청역,620-203,35,,,,1단계. 사업계획 수립중
983,공실,6,마포구청역,620-204,44,,,,1단계. 사업계획 수립중
984,네트워크,6,망원역,621-101,28,2022-02-03,2027-05-04,5682613,
985,개별(일반),6,망원역,621-102,45.17,2021-11-17,2026-12-17,2120000,
986,네트워크,6,망원역,621-103,29,2022-08-01,2027-12-29,1052443,
987,공실,6,망원역,621-104,50,,,,1단계. 사업계획 수립중
988,공실(임대진행),6,망원역,621-105,39,,,,3단계. 감정평가
989,개별(일반),6,합정(6)역,622-101,28.51,2021-03-15,2026-04-14,4033300,
990,네트워크,6,합정(6)역,622-102,37.67,2018-05-12,2023-07-10,4586462,
991,네트워크,6,합정(6)역,622-103,45,2022-02-03,2027-05-04,14622415,
992,개별(일반),6,합정(6)역,622-106,58,2020-07-15,2025-08-14,8034000,
993,개별(일반),6,합정(6)역,622-107,42.41,2021-07-01,2026-07-31,4365000,
994,복합,6,합정(6)역,622-108,50,2022-08-11,2028-01-08,3442973,
995,복합,6,합정(6)역,622-109,60,2022-08-11,2028-01-08,6045087,
996,복합,6,합정(6)역,622-117,75,2022-08-11,2028-01-08,5170140,
997,개별(일반),6,합정(6)역,622-301,11.7,2021-07-09,2026-08-08,4500000,
998,소송상가,6,합정(6)역,622-302,42.2,2017-02-22,2022-05-23,8057669,
999,개별(일반),6,합정(6)역,622-303,15.8,2022-04-28,2027-05-28,12570000,
1000,개별(일반),6,합정(6)역,622-304,33.2,2021-07-09,2026-08-08,13000000,
1001,소송상가,6,합정(6)역,622-305,90.4,2017-02-22,2022-05-23,14505111,
1002,소송상가,6,합정(6)역,622-306,12.6,2017-02-22,2022-05-23,1986274,
1003,네트워크,6,합정(6)역,622-307,22.54,2018-11-27,2024-01-25,2778807,
1004,공실(임대진행),6,합정(6)역,622-308,33.9,,,,5단계. 입찰공고
1005,공실(임대진행),6,상수역,623-101,33,,,,3단계. 감정평가
1006,공실(임대진행),6,상수역,623-102,33,,,,3단계. 감정평가
1007,네트워크,6,상수역,623-201,35,2022-02-03,2027-05-04,7569055,
1008,공실,6,상수역,623-202,29,,,,1단계. 사업계획 수립중
1009,공실,6,상수역,623-203,38,,,,1단계. 사업계획 수립중
1010,공실(임대진행),6,상수역,623-204,41,,,,3단계. 감정평가
1011,네트워크,6,광흥창역,624-101,40,2022-02-03,2027-05-04,3992468,
1012,공실(임대진행),6,광흥창역,624-102,25,,,,3단계. 감정평가
1013,공실(임대진행),6,광흥창역,624-203,187,,,,3단계. 감정평가
1014,공실(임대진행),6,광흥창역,624-206,66,,,,3단계. 감정평가
1015,네트워크,6,대흥역,625-101,45,2022-02-03,2027-05-04,7186443,
1016,개별(일반),6,대흥역,625-102,43.67,2019-11-19,2024-12-18,2870000,
1017,공실(임대진행),6,대흥역,625-203,23,,,,3단계. 감정평가
1018,공실,6,공덕(6)역,626-124,36,,,,1단계. 사업계획 수립중
1019,개별(일반),6,공덕(6)역,626-125,37,2020-02-24,2025-03-25,6671100,
1020,개별(일반),6,공덕(6)역,626-126,32,2021-03-13,2026-03-12,2770000,
1021,개별(일반),6,공덕(6)역,626-127,27,2022-06-09,2027-07-09,4120000,
1022,개별(일반),6,공덕(6)역,626-128,24,2018-06-22,2023-07-21,7500000,
1023,네트워크,6,공덕(6)역,626-129,39.4,2022-02-03,2027-05-04,12977518,
1024,공실(임대진행),6,공덕(6)역,626-130,30,,,,3단계. 감정평가
1025,공실(임대진행),6,공덕(6)역,626-131,22,,,,3단계. 감정평가
1026,개별(일반),6,공덕(6)역,626-132,32,2020-07-16,2025-08-15,6880000,
1027,네트워크,6,공덕(6)역,626-133,48,2022-07-18,2027-10-16,6758939,
1028,개별(대형),6,공덕(6)역,626-135,165,2021-07-12,2026-07-12,23540000,
1029,소송상가,6,공덕(6)역,626-136,112,2017-02-22,2022-05-23,10835534,
1030,개별(일반),6,공덕(6)역,626-201,13.6,2022-08-30,2027-09-29,1300000,
1031,공실(임대진행),6,공덕(6)역,626-202,52,,,,4단계. 방침수립
1032,네트워크,6,효창공원앞역,627-101,43,2022-02-03,2027-05-04,6485543,
1033,공실(임대진행),6,효창공원앞역,627-102,33,,,,3단계. 감정평가
1034,개별(일반),6,효창공원앞역,627-103,31,2020-07-06,2025-08-05,2583300,
1035,공실,6,효창공원앞역,627-104,33,,,,2단계. 시설물 점검
1036,네트워크,6,효창공원앞역,627-105,31,2022-08-01,2027-12-29,984397,
1037,공실(임대진행),6,효창공원앞역,627-106,63,,,,3단계. 감정평가
1038,개별(일반),6,삼각지(6)역,628-165,258.2,2020-06-26,2025-06-25,1882000,
1039,네트워크,6,삼각지(6)역,628-301,31.8,2022-02-03,2027-05-04,4937353,
1040,공실,6,삼각지(6)역,628-307,46,,,,1단계. 사업계획 수립중
1041,개별(일반),6,삼각지(6)역,628-308,40,2022-04-28,2027-05-28,2952000,
1042,네트워크,6,녹사평역,629-101,40,2022-02-03,2027-05-04,6254867,
1043,네트워크,6,이태원역,630-101,25,2022-02-03,2027-05-04,8483995,
1044,공실(임대진행),6,이태원역,630-102,19,,,,3단계. 감정평가
1045,네트워크,6,이태원역,630-103,34,2022-08-01,2027-12-29,3123307,
1046,네트워크,6,한강진역,631-101,40,2022-02-03,2027-05-04,6033063,
1047,공실(임대진행),6,한강진역,631-102,64,,,,4단계. 방침수립
1048,개별(일반),6,한강진역,631-104,62,2020-07-06,2025-08-05,2133300,
1049,네트워크,6,한강진역,631-105,64,2022-08-01,2027-12-29,1524228,
1050,공실(임대진행),6,버티고개역,632-102,26,,,,3단계. 감정평가
1051,네트워크,6,약수(6)역,633-203,77,2022-02-03,2027-05-04,7685502,
1052,공실(임대진행),6,약수(6)역,633-204,46,,,,3단계. 감정평가
1053,공실(임대진행),6,약수(6)역,633-205,85,,,,3단계. 감정평가
1054,공실,6,약수(6)역,633-206,33,,,,1단계. 사업계획 수립중
1055,공실,6,약수(6)역,633-207,39,,,,1단계. 사업계획 수립중
1056,네트워크,6,신당(6)역,635-101,40,2022-02-03,2027-05-04,5456374,
1057,공실(임대진행),6,신당(6)역,635-103,73,,,,5단계. 입찰공고
1058,공실(임대진행),6,신당(6)역,635-105,30,,,,3단계. 감정평가
1059,네트워크,6,신당(6)역,635-106,26,2022-08-30,2028-01-27,651324,
1060,공실(임대진행),6,신당(6)역,635-201,34.1,,,,3단계. 감정평가
1061,네트워크,6,신당(6)역,635-202,142.14,2018-05-12,2023-07-10,8994730,
1062,개별(일반),6,신당(6)역,635-203,30,2020-01-10,2025-02-08,1985000,
1063,네트워크,6,동묘앞(6)역,636-201,48,2022-02-03,2027-05-04,5163592,
1064,공실,6,동묘앞(6)역,636-205,26,,,,1단계. 사업계획 수립중
1065,공실,6,동묘앞(6)역,636-206,30,,,,1단계. 사업계획 수립중
1066,네트워크,6,동묘앞(6)역,636-207,43,2022-08-01,2027-12-29,1267922,
1067,네트워크,6,창신역,637-101,28,2022-02-03,2027-05-04,1956310,
1068,개별(일반),6,보문역,638-102,14.1,2018-11-20,2023-12-19,825000,
1069,네트워크,6,보문역,638-103,35,2022-02-03,2027-05-04,5162483,
1070,공실(임대진행),6,보문역,638-105,24,,,,3단계. 감정평가
1071,네트워크,6,보문역,638-106,36,2022-08-01,2027-12-29,979861,
1072,공실,6,안암역,639-103,31,,,,1단계. 사업계획 수립중
1073,공실,6,안암역,639-104,31,,,,1단계. 사업계획 수립중
1074,공실,6,안암역,639-105,17,,,,1단계. 사업계획 수립중
1075,네트워크,6,안암역,639-201,42.2,2022-02-03,2027-05-04,10717338,
